ano,dataEleicao,descricaoEleicao,id,localidadeSgUe,nomeEleicao,siglaUF,tipoAbrangencia,tipoEleicao
2018,2018-10-07,2018,2022802018,,Eleição Geral Federal 2018,,F,O
2016,2016-10-02,2016,2,,Eleições Municipais 2016,,M,O
2014,2014-10-05,2014,680,,Eleições Gerais 2014,,F,O
2012,,2012,1699,,Eleição Municipal 2012,,M,O
2010,,2010,14417,,Eleições 2010,,F,O
2008,2008-10-05,2008,14422,,Eleições 2008,,M,O
2006,,2006,14423,,Eleições 2006,,F,O
2004,,2004,14431,,Eleições 2004,,M,O
2016,2017-03-12,2016,20861,,Eleição Suplementar de Calçoene-AP,06033,M,S
2016,2018-10-28,2016,1034102016,,Suplementar Novo Airão / AM,02011,M,S
2016,2018-02-04,2016,75632,,Eleição Suplementar Novo Aripuanã-AM,02674,M,S
2016,2018-10-28,2016,1034002016,,Suplementar Anamã / AM,02933,M,S
2016,2018-06-03,2016,89368,,Eleição Suplementar de Jeremoabo,36633,M,S
2016,2018-06-03,2016,93810,,Eleição Supl. de Frecheirinha,13919,M,S
2016,2018-06-03,2016,93698,,Suplementar - Santana do Cariri,15431,M,S
2016,2018-06-03,2016,91463,,Eleição Suplementar - Prefeito,15695,M,S
2016,2018-06-03,2016,91510,,Eleição Suplementar - Prefeito,15750,M,S
2016,2017-10-01,2016,60776,,Eleição Suplementar de Fundão (ES),56430,M,S
2016,2017-07-02,2016,41264,,Eleição Suplementar Muqui (ES),56758,M,S
2016,2018-06-03,2016,96210,,Eleição Suplementar - Niquelândia (GO),94897,M,S
2016,2017-10-01,2016,60819,,Eleição Suplementar - Petrolina (GO),95311,M,S
2016,2018-10-28,2016,1034302016,,ELEIÇÃO SUPLEMENTAR DE BACABAL,07234,M,S
2016,2017-03-12,2016,22273,,Conquista D'Oeste-MT-Mar/2017,91006,M,S
2016,2017-11-19,2016,68410,,Eleição Suplementar Mirassol D'Oeste,91774,M,S
2016,2017-07-02,2016,40598,,Alto Taquari-MT-Jul-2017,98612,M,S
2016,2017-11-19,2016,68363,,Eleição Suplementar Primavera do Leste,98892,M,S
2016,2017-06-04,2016,36506,,ELEIÇÃO SUPLEMENTAR TACURU,98159,M,S
2016,2017-03-12,2016,22376,,Eleição Suplementar Alvorada de Minas,40479,M,S
2016,2017-12-03,2016,70935,,Eleição Suplementar Antonio Dias,40592,M,S
2016,2017-07-02,2016,42977,,Eleição Suplementar Sta. Rita de Minas,40665,M,S
2016,2018-03-04,2016,81702,,Eleição Suplementar Santa Cruz Salinas,41483,M,S
2016,2018-03-04,2016,81721,,Eleição Suplementar Campo Azul,41807,M,S
2016,2017-05-07,2016,31089,,Eleição Suplementar Guaraciama,42188,M,S
2016,2017-11-19,2016,68881,,Eleição Suplementar Ibiracatu,42200,M,S
2016,2017-07-02,2016,43022,,Eleição Suplementar Campo Florido,42277,M,S
2016,2017-07-02,2016,43030,,Eleição Suplementar Canaã ,42331,M,S
2016,2017-12-03,2016,70905,,Eleição Sup. Conceição do Rio Verde,43532,M,S
2016,2017-06-04,2016,37966,,Eleição Suplementar Cristiano Otoni,44075,M,S
2016,2017-03-12,2016,22361,,Eleição Suplementar Ervália,44792,M,S
2016,2018-06-03,2016,94981,,Eleição Suplementar Guanhães,45594,M,S
2016,2017-12-03,2016,70919,,Eleição Suplementar Ibitiúra de Minas,45977,M,S
2016,2018-03-04,2016,81700,,Eleição Suplementar Ibituruna,45993,M,S
2016,2018-06-03,2016,95011,,Eleição Suplementar Ipatinga,46256,M,S
2016,2018-06-24,2016,99034,,Eleição Suplementar Itanhomi,46639,M,S
2016,2017-11-19,2016,68891,,Eleição Suplementar Jordânia,47295,M,S
2016,2018-06-03,2016,95074,,Eleição Suplementar Pocrane,50377,M,S
2016,2018-06-24,2016,100087,,Eleição Suplementar Santa Luzia,51551,M,S
2016,2017-11-19,2016,68893,,Eleição Suplementar Santana da Vargem,51659,M,S
2016,2017-03-12,2016,22382,,Eleição Suplementar São Bento Abade,52159,M,S
